,from,date,job_id,job_title,job_company,job_location,job_link,job_type,job_skills,job_edu,job_major,job_keywords,job_text
0,Indeed,11/03/2017,0946b0ee81982f1e,Developer Java,Flex,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=0946b0ee81982f1e,[],[],[],[],[],['']
1,Indeed,11/03/2017,5f255713e000fdc9,Senior Software Developer - Search,"SearchBlox Software, Inc.","Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=5f255713e000fdc9,['Full-Time'],['Java'],['BS'],"['Computer Science', 'Engineering']",['User Experience'],"['', 'state', 'to..', 'lucene', 'always', 'now', 'post', 'electrical', 'resume', 'science', 'terms', 'apply', 'search', 'senior', '5', 'resumes', 'efforts', 'quickly', 'product', 'profile', 'desired', '+', 'ability', 'leading', 'application', 'developer', 'ago', 'issues', 'improves', 'establish', 'available', 'company', 'skills', 'privacy', 'across', 'ready', 'management', 'job', 'required', 'higher', 'deliver', 'industry', 'salary:', 'date', '₹15', '₹20', 'work', 'title', 'nadu', 'computer', 'sign', 'knowledge', 'type:', 'detailed', 'engineer', 'let', 'feedback', 'years', 'use', 'description', 'lead', 'reviews', 'amazon', 'resolve', 'customers', 'create', 'high', 'review', 'inc.', 'degree', 'cycles', 'teams', 'learn', 'trends', 'centre', 'research', 'jobs', 'contributing', 'days', 'including', 'save', 'year', 'pieces', 'engineering', 'tested', 'responsibilities:', 'team', 'effective', 'cookies', '500', 'upload', 'based', 'close', '00', 'executive', 'tamil', 'fast-paced', 'environment', 'experience:', 'please', 'operations', 'highly', 'code', 'chennai', 'solutions', 'release', 'enterprise', 'full-time', 'java', 'drive', 'java:', 'software', 'improving', 'closely', 'solr', 'developing', 'implement', 'provider', 'least', 'find', 'mastery', 'communication', 'platform', 'advanced', 'searchblox', 'example', 'elasticsearch', 'server-side', '₹2', 'relevancy', 'design', 'countries', 'concurrent', 'innovation', 'city', ':', 'user', 'providing', 'indeed', 'bs', 'applications', '-', 'scalability', '2', 'web', 'quality', '₹1', 'skills:', 'distributed', 'major', '000.00', 'technical', 'apache', 'dynamic', 'salaries', 'inc', 'short', '©2017', 'help', 'j2ee', 'keywords', 'strategy', 'skip', 'complex', 'applying', 'tuning', 'technologies', 'leadership', '»', 'employers', 'communicate', 'building', 'practices', 'experience', 'agile', '\xa0', 'hands-on', 'technology', 'end-to-end', '14', 'latest', 'rest', 'instructions', '300', 'production-level', 'production', '000', 'development', 'externally', 'scalable', 'systems', 'services', '30']"
2,Indeed,11/03/2017,a7550f6d788602f4,Senior Systems Engineer,Flex,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=a7550f6d788602f4,[],[],[],[],[],['']
3,Indeed,11/03/2017,eafb46b7fc26734d,Desktop Support Engineer,apinfotech,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=eafb46b7fc26734d,['Full-Time'],[],['MS'],"['Computer Science', 'Engineering']",[],"['', 'config', 'm..', 'system', 'pc', 'state', 'employment:', '9', '23', 'testing', 'networking', 'directory', 'post', 'installation', 'troubleshoot', '6.troubleshoot', 'now', '2013', 'b.tech', 'mother', 'resume', 'pm]', 'science', 'terms', 'apply', 'search', '5', 'resumes', 'dear', '6', 'dns', 'laptop', 'call', 'profile', 'print', 'connectivity', '8', 'client', 'mca', '0', 'ds', 'ago', 'application', 'm.tech', 'issues', 'aspirants', '2012', 'company', '50', 'privacy', 'job', 'required', '***', '30+', 'eee', 'local', 'urgent', '50%', 'salary:', 'academy', 'computer', 'title', 'nadu', 'bca', 'sign', 'let', '11', 'aggregate', 'mail', 'engineer', 'ece', 'type:', 'solution', 'description', 'murugan', 'reviews', 'apinfotech', 'min', 'deploy', 'create', 'high', 'review', 'vpn', 'passed', 'desk', 'centre', 'ms', 'jobs', 'days', 'install', '1', 'including', 'education:', 'year', 'm.e', 'save', 'may', 'engineering', 'school', 'equivalent', 'criteria:', 'cookies', 'upload', 'location:', 'close', 'global', 'tamil', '3', 'experience:', 'please', 'hardware', '4', 'hours', '2008', '2017', 'negocios', 'bsc', 'securely', 'infra', 'opening', 'windows', 'diagnosing', 'express', 'chennai', 'structure', 'pvt', 'full-time', 'server', 'thanks', '10', 'software', 'support', 'whoever', 'troubleshooting', 'operating', 'hiring', 'ltd', 'internet', 'maintenance', 'find', 'problems', 'fresher', 'months', 'etc', 'advanced', '₹150', 'day', 'city', ':', 'permanent', 'interested', 'indeed', 'remote', 'manage', 'mr', '-', '₹1', '2', 'skill:', 'active', 'tech', '2003', '000.00', 'administrator', 'device', 'like', 'salaries', '©2017', 'b.e', 'educational', 'network', '[', 'mnc', '7', 'keywords', 'sever', 'top', 'dhcp', 'skip', 'applying', 'service', 'technologies', 'uft', '»', 'employers', 'printer', 'requirement', 'desktop', 'bridge', 'mode', 'laptops', '\xa0', 'msc', 'lan', 'saveetha', 'contact', 'instructions', 'update', '000', 'diploma', 'systems', 'mulitiple', 'help', 'l1', 'outlook']"
4,Indeed,11/03/2017,c728bac8648f6281,ComputerScience Teacher,ThinkDiff S'kool,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=c728bac8648f6281,['Full-Time'],"['C++', 'C', 'Matlab']",['BS'],['Computer Science'],[],"['', 'courses', '*', 'state', 'language:', 'programming', '9', 'hcl', 'now', 'post', 'can', 'matlab', 'resume', 'c', 'science', 'mission', 'terms', 'apply', 'search', '₹100', 'resumes', '20', 'training..', '6', 'weekends', 'profile', 'matric', 'ago', 'application', 'weekdays', 'company', 'things', 'develop', 'privacy', 'job', 'required', '30+', 'eee', 'students', 'internship', 'salary:', 'computer', 'work', 'title', 'nadu', 'bca', 'sign', 'type:', 'ed', 'let', 'ece', 'years', 'cse', 'inspire', 'create""...', 'description', 'lead', 'reviews', ""bachelor's"", 'dlk', 'create', 'english', 'review', 'new', 'learn', 'teacher', 'centre', 'jobs', 'days', 'education:', 'save', 'year', 'freshers', 'may', 'learning', 'responsibilities:', 'cookies', 'upload', ""s'kool"", 'close', '00', 'location:', 'tamil', 'experience:', 'please', 'hours', 'bsc', 'securely', 'chennai', 'solutions', 'teach', 'full-time', 'curiosity', 'smart', 'find', 'computerscience', 'thinkdiff', 'months', 'advanced', 'fluency', 'design', 'city', ':', 'indeed', 'cbse', 'c++', '-', '₹1', 'passion', 'must', 'skills:', '000.00', 'private', 'like', 'salaries', '©2017', '₹120', 'teaching', 'keywords', '""kindle', 'stem', 'skip', 'applying', 'technologies', '»', 'employers', 'programmers', '10+', 'afterschool', 's’kool', 'center', '\xa0', 'rosewin', 'curriculum', 'instructions', 'limited', 'children', '000', 'consultant', 'help']"
5,Indeed,11/03/2017,fedb160214650076,Principal Software Engineer | ASP.NET,savvyan technologies,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=fedb160214650076,['Full-Time'],"['SQL', 'C#', 'Java', 'HTML', 'CSS', 'Azure']",['BS'],"['Computer Science', 'Engineering']",[],"['', '17', 'working', 'skillset', 'full-stack', 'vb.net', 'visual', 'state', '9551697744', 'patterns', 'mvc', 'now', 'post', 'strong', 'can', 'resume', 'india', 'science', 'terms', 'apply', 'search', 'senior', '5', 'resumes', 'box', 'sql', '20', 'driven', 'practitioner', 'product', 'helpdesk', 'fast', 'profile', 'orientated', 'handle', '8', 'inventory', 'html', 'sibridge', 'ago', 'developer', 'application', 'core', 'atbico', 'bootstrap', '|', 'company', 'skills', 'successful', 'develop', 'privacy', 'front', 'brown', 'analysis', 'management', 'individual', 'job', 'required', '30+', 'azure', '4.6.2', 'requirements', 'industry', 'json', 'able', 'additional', 'maintain', 'critical', 'analytical', 'computer', 'title', 'nadu', 'type:', 'sign', 'webapi', 'let', 'engineer', 'git', 'test', 'logistics', 'micro-services', 'years', 'take', 'roshan', 'role', 'description', 'lead', 'reviews', 'out-of-the', 'aptitude', 'xml', 'projects', 'thinker', 'supply', 'asp', ""bachelor's"", 'entity', 'create', 'mcsd', 'review', 'recovery', 'learn', 'education', 'certification', 'centre', 'karnataka', 'jobs', 'microsoft', 'legacy', 'preferred', 'education:', 'days', 'save', 'candidates', 'savvyan', 'may', 'engineering', 'learning', 'team', 'cookies', 'stack', 'upload', 'based', 'close', 'tasks', 'moq', 'tamil', 'jquery', 'regards', 'global', 'who:', 'experience:', 'please', 'written', 'bachelors', 'hours', 'tfs', 'containers', 'tests', 'problem', 'engineering:', 'designer', 'securely', 'scrum', 'studio', 'chennai', 'understand', 'vs', 'enterprise', 'full-time', 'thinking', 'multiple', 'java', 'small', 'server', '10', 'software', 'developing', 'implement', 'nunit', 'object', 'framework', 'big', 'ownership', 'find', 'roles', '.net', 'plus', 'css', 'notes', 'dockers', 'wanted', 'asp.net', 'contributor', 'etc', 'advanced', 'forms', 'related', 'architect', 'unit', 'principal', 'advantage', 'design', 'gmail:', 'will', 'city', ':', 'providing', 'asset', 'indeed', '1.1', 'using', 'applications', '-', 'architectural', 'web', 'convert', 'excellent', 'responsibilities', 'c#', 'bengaluru', 'private', 'methodology', 'great', 'like', 'coordinator', '–', 'salaries', 'time', '©2017', 'sysnet', 'demonstrate', 'continuous', 'chain', 'keywords', 'size', 'guidance', 'classic', '3+', '.net..', 'skip', 'builds', 'given', 'applying', 'xpans', 'qualifications', 'technologies', '7519656', 'roshanme46', 'asic', 'leadership', '»', 'employers', 'script', '10+', 'solving', 'agile', 'experience', 'symantec', 'field', '\xa0', 'technology', '14', 'latest', 'end', 'instructions', 'deploying', 'architecture', 'limited', 'development', '&', 'help', 'refer', 'green']"
6,Indeed,11/03/2017,235e9b7e40fe8c90,Senior Network Administrator,NorthAlley (India) Private Limited,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=235e9b7e40fe8c90,['Full-Time'],['Linux'],['BS'],['Computer Science'],[],"['', 'working', 'firewall', 'system', 'needed', 'state', 'servers', 'passwords', 'networking', 'post', 'now', 'resume', 'india', 'science', 'extreme', 'terms', 'apply', 'search', 'senior', 'policies', 'resumes', 'mandatory', 'centos', 'vtech', 'third-party', '6', 'pranas', 'weaknesses', 'utilization', 'backup', 'desired', 'connectivity', 'ability', 'latency', 'ago', 'application', 'c..', 'upgrade', 'recommendations', 'good', 'company', 'skills', 'administration', 'privacy', 'throughput', 'permissions', 'management', 'job', 'northalley', 'eye', 'required', 'multitasking', 'administer', 'requirements', 'reported', 'accounts', 'junior', 'maintain', 'bangalore', 'computer', 'title', 'nadu', 'knowledge', 'sign', 'type:', 'let', 'procedures', 'test', 'firewalls', 'engineer', 'years', 'control', 'role', 'description', 'reviews', 'resolve', 'linux', 'have:', 'availability', 'performance', 'updates', 'review', 'monitoring', 'recovery', 'new', 'degree', 'implementation', 'relevant', 'certification', 'centre', 'research', 'redhat', 'jobs', 'preferred', 'install', 'days', '1', 'save', 'may', 'responsibilities:', 'linux:', 'set', 'cookies', 'upload', 'location:', 'close', 'executive', 'tamil', '3', 'routing', 'similar', 'environment', 'experience:', 'adminstration:', 'hardware', '4', 'please', 'specify', 'problem', 'integrate', 'resolution', 'securely', 'sonicwall', 'familiarity', 'sardonyx', 'goodput', 'switches', 'chennai', 'keep', 'coimbatore', 'solutions', 'around', 'proven', 'openings', 'full-time', 'ct', 'server', 'ubuntu', 'infrastructure-administrator', 'software', 'support', 'make', 'troubleshooting', 'fully', 'sr', 'internet', 'find', 'vpn’s', 'roles', 'problems', 'advanced', 'balancing', 'related', 'ensure', 'design', 'day', 'security', 'city', ':', 'user', 'best', 'indeed', 'infrastructure', 'remote', 'applications', '-', 'corporate', 'excellent', 'vmware', 'switching', 'skills:', 'private', 'administrator', 'great', 'like', 'salaries', '©2017', 'network', 'configure', '7', 'keywords', 'cisco', 'skip', 'applying', '4-6', 'define', 'technologies', 'methodologies', '»', 'employers', 'hands', 'practices', 'experience', 'prioritizing', 'soft', 'load', 'field', '\xa0', 'technology', 'bachelor', 'organizing', '14', 'qualifications:', 'end', 'routers', 'instructions', 'limited', 'services', 'systems', 'monitor', '&', 'help', 'networks']"
7,Indeed,11/03/2017,9f13657025452301,Trainee Software Engineer,STEER Information Technologies,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=9f13657025452301,['Full-Time'],"['SQL', 'Java', 'JavaScript', 'HTML', 'CSS', 'PHP']",[],['Computer Science'],[],"['', 'interpersonal', 'enthusiastic', 'struts', 'state', 'now', 'post', 'logical', 'b.tech', 'graduate', 'resume', 'can', 'process', 'digitalq', 'oracle', 'science', 'terms', 'following', 'search', 'apply', 'resumes', 'sqllite', 'sql', 'quickly', 'aeronautical', 'php', 'graduates', 'salary-', '₹38', '8', 'open', 'html', '2016', 'ago', 'application', 'developer', 'vendors', 'air', 'good', 'company', 'skills', 'methodical', 'privacy', 'mechanic..', 'job', 'eee', 'month', 'able', 'hyundai', 'computer', 'title', 'nadu', '38700', 'sign', 'type:', 'let', 'engineer', 'shinejobs4you.blogspot.in', 'ece', 'description', 'xml', 'reviews', 'steer', 'javascript', 'information', 'm', 'review', '₹18', 'learn', 'm.sc', 'centre', 'jobs', 'days', '1', 'save', 'freshers', 'may', 'ajax', 'details', 'website-', '18500', 'verbal', '500', 'cookies', 'upload', 'close', 'tamil', 'please', 'written', 'hours', 'environments', 'problem', 'exposure', '2017', 'securely', '16', 'chennai', 'understand', 'p', 'pvt', 'full-time', 'server', 'java', 'xslt', 'software', 'ltd', 'find', 'adobe', 'trainee', 'css', 'communication', 'advanced', 'design', 'city', ':', 'indeed', 'http:', 'hour', 'ees', '-', '2', 'flex', 'profile:', 'like', 'salaries', '©2017', 'b.e', 'help', 'j2ee', 'keywords', 'skip', 'applying', 'technologies', 'mech', 'advantage:', '»', 'employers', 'db2', 'solving', '&..', 'm.c.a', '\xa0', 'jsp', 'qualifications:', 'approach', 'instructions', 'services', '700', 'development', 'disciplined', 'blazeds', 'person']"
8,Indeed,11/03/2017,a4b8d1b15f52af1f,Freshers - Computer Science Graduates,Mcoxley,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=a4b8d1b15f52af1f,['Full-Time'],"['MySQL', 'Python', 'C', 'C#', 'Java', 'PHP', 'Perl']",[],['Computer Science'],[],"['', 'state', 'programming', 'testing', 'now', 'post', 'integration', 'perform', 'logical', 'leads', 'b.tech', 'resume', 'c', 'science', 'prestashop', 'familiar', 'terms', 'mysql', 'search', 'apply', 'resumes', 'bug', 'python', 'abilities', 'php', 'completion', 'profile', 'graduates', 'desired', 'receipt', 'mca', '\xa0fresher', '2016', 'ago', 'application', 'core', 'good', 'company', 'candidate', 'skills', 'privacy', 'ready', 'job', '30+', 'mcoxley', 'requirements', 'date', 'concepts', 'computer', 'analytical', 'title', 'nadu', 'knowledge', 'sign', 'let', 'type:', 'others', 'flexible', 'analyzing', 'html&css', 'cse', 'drupal', 'years', 'role', 'description', 'reviews', 'create', 'review', 'oops', 'learn', 'centre', 'jobs', 'days', 'save', 'freshers', 'candidates', 'batch', 'cookies', 'upload', 'close', 'tasks', 'tamil', '3', 'magento', 'please', 'written', 'write', '2017', 'resolution', 'familiarity', 'submit', 'original', 'chennai', 'done', 'understand', 'full-time', 'multiple', 'java', 'basic', 'support', 'professionals', 'joining', 'find', 'trained', '.net', 'gateways', 'communication', 'months', 'advanced', 'unit', 'testings', 'various', 'advantage', 'waste', 'will', 'city', ':', 'understanding', 'indeed', 'applications', '-', '2', 'web', 'excellent', 'stay', 'location', 'standards', 'c#', 'perl', 'technical', 'added', 'salaries', 'sitecore', 'time', 'b.e', '©2017', 'designing', 'summary', 'keywords', 'skip', 'coding', 'given', 'need', 'applying', 'technologies', 'expectations:', 'certificates', '»', 'employers', 'experience', 'per', '\xa0', 'instructions', 'development', '&', 'help', 'returned']"
9,Indeed,11/03/2017,2252d01a7af8e79f,QA tester - IT,Blended Learning Professionals,"Chennai, Tamil Nadu",http://www.indeed.co.in/rc/clk?jk=2252d01a7af8e79f,['Full-Time'],"['Java', 'JavaScript', 'HTML', 'CSS', 'Ruby']",['BS'],"['Computer Science', 'Math']",[],"['', 'working', 'state', 'blended', 'programming', 'exciting', 'testing', 'now', 'post', 'strong', 'resume', 'peers', 'science', 'terms', 'apply', 'search', 'senior', 'resumes', 'sdlc', 'product', 'fast', 'profile', 'html', 'ability', 'non-technical', 'ago', 'application', 'automation', 'core', 'bachelor´s', 'company', 'skills', 'privacy', 'management', 'job', 'required', 'requirements', '2-3', 'mathematics', 'json', 'computer', 'analytical', 'title', 'nadu', 'knowledge', 'sign', 'type:', 'let', 'test', 'users', 'years', 'description', 'reviews', 'supervisor', 'javascript', ""bachelor's"", 'information', 'browser', 'create', 'review', 'degree', 'centre', 'jobs', 'days', 'education:', '1', 'save', 'year', 'ajax', 'learning', 'equivalent', 'verbal', 'cookies', 'stack', 'upload', 'location:', 'close', 'tamil', 'environment', 'experience:', 'please', 'written', 'lifecycle', 'scrum', 'plans', 'chennai', 'test-driven', 'coding:', 'cross-browser', 'full-time', 'java', 'software', '3-5', 'cucumber', 'following:', 'troubleshooting', 'least', 'professionals', 'find', 'plus', 'css', 'communication', 'direct', 'tester', 'advanced', 'related', 'ensure', 'tools', 'will', 'city', ':', 'understanding', 'indeed', 'qa', 'using', '-', 'web', 'excellent', 'must', 'audiences', 'individuals', 'within', 'technical', '–', 'salaries', 'multi-tasking', '©2017', 'one', 'demonstrate', 'analytics', 'waterfall', 'keywords', 'skip', 'applying', 'technologies', '»', 'employers', 'communicate', 'effectively', 'experience', 'ruby', 'agile', 'include', 'field', 'represented', '\xa0', '14', 'end', 'instructions', 'selenium', 'paced', 'development', 'systems', 'help']"
